Area_sqft,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,Bedrooms,price
1485.0,3.0,3.0,1.0,7.0,0.0,15.0,8.0,4.0,1,False,False,True,3.0,68.0
1323.0,2.0,1.0,3.0,7.0,3.0,19.0,0.0,0.0,1,False,False,True,2.0,60.0
1323.0,2.0,1.0,3.0,5.0,2.0,11.0,0.0,2.0,1,False,False,True,2.0,65.0
2079.0,3.0,1.0,2.0,7.0,3.0,19.0,0.0,0.0,1,False,True,False,3.0,105.0
1323.0,2.0,1.0,3.0,5.0,3.0,19.0,0.0,2.0,1,False,False,True,2.0,60.0
765.0,2.0,1.0,3.0,7.0,3.0,19.0,8.0,3.0,1,False,True,False,2.0,68.0
2160.0,3.0,3.0,5.0,7.0,0.0,14.0,8.0,3.0,1,False,False,True,3.0,97.0
3450.0,4.0,3.0,5.0,7.0,0.0,31.0,0.0,3.0,1,False,False,True,4.0,250.0
1008.0,2.0,1.0,1.0,5.0,3.0,11.0,0.0,1.0,1,False,False,True,2.0,45.0
1800.0,3.0,1.0,2.0,6.0,1.0,14.0,8.0,3.0,1,False,False,True,3.0,85.0
3879.0,3.0,3.0,14.0,14.0,0.0,19.0,2.0,3.0,1,False,True,False,3.0,142.0
1453.0,2.0,1.0,4.0,8.0,0.0,9.0,8.0,3.0,1,False,False,True,2.0,61.0
1890.0,3.0,1.0,4.0,5.0,2.0,19.0,8.0,4.0,1,False,False,True,3.0,100.0
2610.0,3.0,3.0,3.0,14.0,0.0,19.0,8.0,3.0,1,True,False,False,3.0,110.0
1530.0,2.0,1.0,11.0,14.0,3.0,19.0,0.0,3.0,1,False,True,False,2.0,75.0
2277.0,3.0,1.0,2.0,4.0,3.0,19.0,0.0,0.0,1,False,False,True,3.0,120.0
1935.0,3.0,1.0,3.0,10.0,3.0,33.0,0.0,3.0,1,False,False,True,3.0,70.0
1449.0,2.0,1.0,1.0,10.0,3.0,11.0,0.0,0.0,1,False,True,False,2.0,67.0
2142.0,3.0,1.0,4.0,12.0,0.0,16.0,8.0,3.0,1,False,False,True,3.0,105.0
1050.0,2.0,1.0,2.0,6.0,0.0,6.0,8.0,3.0,1,False,True,False,2.0,25.5
2863.224,3.0,1.0,2.0,2.0,0.0,9.0,8.0,3.0,1,False,False,True,3.0,124.0
1368.0,2.0,1.0,1.0,7.0,0.0,2.0,8.0,4.0,1,False,False,True,2.0,45.0
2196.0,3.0,2.0,2.0,11.0,3.0,19.0,2.0,0.0,1,False,True,False,3.0,127.0
1134.0,2.0,1.0,4.0,8.0,3.0,11.0,8.0,3.0,1,False,False,True,2.0,50.0
1305.0,2.0,1.0,5.0,7.0,3.0,11.0,0.0,2.0,1,False,True,False,2.0,65.0
1125.0,2.0,1.0,1.0,5.0,3.0,33.0,0.0,2.0,1,False,False,True,2.0,40.0
2518.776,3.0,1.0,5.0,10.0,3.0,9.0,8.0,0.0,1,False,False,False,3.0,139.0
1305.0,2.0,1.0,4.0,8.0,3.0,19.0,8.0,3.0,1,False,False,True,2.0,61.0
1008.0,2.0,1.0,5.0,8.0,0.0,14.0,8.0,4.0,1,False,False,True,2.0,43.5
2400.0,3.0,1.0,4.0,8.0,0.0,16.0,8.0,4.0,1,False,True,False,3.0,260.0
2115.0,3.0,2.0,5.0,8.0,0.0,11.0,8.0,3.0,1,False,False,True,3.0,100.0
2115.0,3.0,1.0,4.0,8.0,0.0,11.0,8.0,4.0,1,False,True,False,3.0,100.0
1636.128,3.0,1.0,3.0,5.0,0.0,14.0,8.0,2.0,1,False,False,True,3.0,100.0
1390.3514352,2.0,2.0,3.0,7.0,2.0,15.0,8.0,2.0,1,True,False,False,2.0,36.0
1334.7236,2.0,2.0,3.0,7.0,0.0,15.0,8.0,4.0,1,True,False,False,2.0,36.0
