Price,Area,Bathrooms,Balconies,Current_Floor,Total_Floors,Furnishing_Status,Mapped_Area,Facing,Property_Age,Bedrooms,Area_Type,Property_Status
65.0,1323.0,2.0,1.0,7.0,11.0,unfurnished,Sargasan,East,1-5 years,2.0,Super Built-up,Ready_to_Move
140.0,1095.0,2.0,1.0,8.5,25.0,Unknown,Gift City,Unknown,New,2.0,Super Built-up,Ready_to_Move
129.0,2250.0,3.0,1.0,5.0,8.0,unfurnished,Randesan,East,New,3.0,Super Built-up,Ready_to_Move
51.0,1485.0,2.0,1.0,3.0,7.0,unfurnished,Randheja,East,New,2.0,Super Built-up,Ready_to_Move
120.0,1447.0,3.0,1.0,4.0,9.0,furnished,Raysan,Unknown,1-5 years,3.0,Carpet,Ready_to_Move
80.0,1800.0,3.0,1.0,4.0,8.0,semi-furnished,Kudasan,Unknown,New,3.0,Super Built-up,Ready_to_Move
85.0,1215.0,3.0,1.0,2.0,7.0,Unknown,Kudasan,Unknown,1-5 years,3.0,Carpet,Ready_to_Move
65.0,1440.0,2.0,1.0,9.0,11.0,unfurnished,Sargasan,North-East,1-5 years,2.0,Carpet,Ready_to_Move
60.0,708.0,2.0,1.0,2.0,8.0,unfurnished,Sargasan,North-East,1-5 years,2.0,Carpet,Ready_to_Move
68.0,1485.0,3.0,3.0,1.0,7.0,Unknown,Randheja,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
60.0,1323.0,2.0,1.0,3.0,7.0,unfurnished,Sargasan,East,1-5 years,2.0,Super Built-up,Ready_to_Move
65.0,1323.0,2.0,1.0,3.0,5.0,semi-furnished,Kudasan,East,5-10 years,2.0,Super Built-up,Ready_to_Move
105.0,2079.0,3.0,1.0,2.0,7.0,unfurnished,Sargasan,East,1-5 years,3.0,Carpet,Ready_to_Move
60.0,1323.0,2.0,1.0,3.0,5.0,unfurnished,Sargasan,East,5-10 years,2.0,Super Built-up,Ready_to_Move
68.0,765.0,2.0,1.0,3.0,7.0,unfurnished,Sargasan,Unknown,New,2.0,Carpet,Ready_to_Move
97.0,2160.0,3.0,3.0,5.0,7.0,Unknown,Randesan,Unknown,New,3.0,Super Built-up,Ready_to_Move
250.0,3450.0,4.0,3.0,5.0,7.0,Unknown,Uvarsad,East,New,4.0,Super Built-up,Ready_to_Move
45.0,1008.0,2.0,1.0,1.0,5.0,unfurnished,Kudasan,East,10-20 years,2.0,Super Built-up,Ready_to_Move
85.0,1800.0,3.0,1.0,2.0,6.0,furnished,Randesan,Unknown,New,3.0,Super Built-up,Ready_to_Move
142.0,3879.0,3.0,3.0,14.0,14.0,Unknown,Sargasan,North-East,New,3.0,Carpet,Ready_to_Move
61.0,1453.0,2.0,1.0,4.0,8.0,Unknown,Koba,Unknown,New,2.0,Super Built-up,Ready_to_Move
100.0,1890.0,3.0,1.0,4.0,5.0,semi-furnished,Sargasan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
110.0,2610.0,3.0,3.0,3.0,14.0,Unknown,Sargasan,Unknown,New,3.0,Built-up,Ready_to_Move
75.0,1530.0,2.0,1.0,11.0,14.0,unfurnished,Sargasan,East,New,2.0,Carpet,Ready_to_Move
120.0,2277.0,3.0,1.0,2.0,4.0,unfurnished,Sargasan,East,1-5 years,3.0,Super Built-up,Ready_to_Move
70.0,1935.0,3.0,1.0,3.0,10.0,unfurnished,Vavol,East,New,3.0,Super Built-up,Ready_to_Move
67.0,1449.0,2.0,1.0,1.0,10.0,unfurnished,Kudasan,East,1-5 years,2.0,Carpet,Ready_to_Move
105.0,2142.0,3.0,1.0,4.0,12.0,Unknown,Raysan,Unknown,New,3.0,Super Built-up,Ready_to_Move
25.5,1050.0,2.0,1.0,2.0,6.0,Unknown,Kalol,Unknown,New,2.0,Carpet,Ready_to_Move
124.0,2863.224,3.0,1.0,2.0,2.0,Unknown,Koba,Unknown,New,3.0,Super Built-up,Ready_to_Move
45.0,1368.0,2.0,1.0,1.0,7.0,Unknown,Chiloda,Unknown,Unknown,2.0,Super Built-up,Ready_to_Move
127.0,2196.0,3.0,2.0,2.0,11.0,unfurnished,Sargasan,North-East,1-5 years,3.0,Carpet,Ready_to_Move
50.0,1134.0,2.0,1.0,4.0,8.0,unfurnished,Kudasan,Unknown,New,2.0,Super Built-up,Ready_to_Move
65.0,1305.0,2.0,1.0,5.0,7.0,unfurnished,Kudasan,East,5-10 years,2.0,Carpet,Ready_to_Move
40.0,1125.0,2.0,1.0,1.0,5.0,unfurnished,Vavol,East,5-10 years,2.0,Super Built-up,Ready_to_Move
139.0,2518.776,3.0,1.0,5.0,10.0,unfurnished,Koba,Unknown,1-5 years,3.0,Super Built-up,Ready_to_Move
61.0,1305.0,2.0,1.0,4.0,8.0,unfurnished,Sargasan,Unknown,New,2.0,Super Built-up,Ready_to_Move
43.5,1008.0,2.0,1.0,5.0,8.0,Unknown,Randesan,Unknown,Unknown,2.0,Super Built-up,Ready_to_Move
260.0,2400.0,3.0,1.0,4.0,8.0,Unknown,Raysan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
100.0,2115.0,3.0,2.0,5.0,8.0,Unknown,Kudasan,Unknown,New,3.0,Super Built-up,Ready_to_Move
100.0,2115.0,3.0,1.0,4.0,8.0,Unknown,Kudasan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
100.0,1636.128,3.0,1.0,3.0,5.0,Unknown,Randesan,Unknown,5-10 years,3.0,Super Built-up,Ready_to_Move
36.0,1390.3514352,2.0,2.0,3.0,7.0,semi-furnished,Randheja,Unknown,5-10 years,2.0,Built-up,Ready_to_Move
36.0,1334.7236,2.0,2.0,3.0,7.0,Unknown,Randheja,Unknown,Unknown,2.0,Built-up,Ready_to_Move
90.0,1845.0,1.0,2.0,6.0,13.0,furnished,Uvarsad,Unknown,Unknown,3.0,Carpet,Ready_to_Move
65.0,1269.0,2.0,1.0,4.0,8.0,furnished,Kudasan,Unknown,New,2.0,Super Built-up,Ready_to_Move
54.0,1629.0,3.0,2.0,3.0,7.0,Unknown,Pethapur,East,Unknown,3.0,Built-up,Under_Construction
125.0,955.0,3.0,1.0,2.0,14.0,furnished,Sargasan,Unknown,1-5 years,3.0,Carpet,Ready_to_Move
75.0,1001.052,3.0,1.0,5.0,7.0,semi-furnished,Kudasan,Unknown,10-20 years,3.0,Carpet,Ready_to_Move
155.0,1304.0,2.0,1.0,8.5,25.0,Unknown,Gift City,Unknown,Unknown,2.0,Super Built-up,Under_Construction
100.0,4000.0,3.0,3.0,12.0,12.0,Unknown,Sargasan,Unknown,New,3.0,Super Built-up,Ready_to_Move
85.0,736.0,1.0,1.0,15.0,31.0,Unknown,Gift City,Unknown,New,1.0,Super Built-up,Under_Construction
34.0,904.176,1.0,1.0,2.0,6.0,unfurnished,Sargasan,Unknown,5-10 years,1.0,Super Built-up,Ready_to_Move
78.0,1485.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,2.0,Built-up,Ready_to_Move
48.85,1453.14,2.0,1.0,5.0,5.0,unfurnished,Pethapur,Unknown,1-5 years,2.0,Carpet,Ready_to_Move
75.0,1377.0,2.0,3.0,5.0,8.0,Unknown,Sargasan,Unknown,New,2.0,Super Built-up,Ready_to_Move
75.0,1200.0,2.0,1.0,3.0,7.0,Unknown,Vavol,Unknown,Unknown,2.0,Carpet,Ready_to_Move
